raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
record_id,NA,NA,raw,0,NA,NA,NA,NA,NA,NA
when_i_was_growing_up_i_di,NA,"When I was growing up, I didn't have enough to eat",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_i_kn,NA,"When I was growing up, I knew that there was someone to take care of me and protect me.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_pe,NA,"When I was growing up, people in my family called me things like ""stupid,"" ""lazy,"" or ""ugly.""",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_my_p,NA,"When I was growing up, my parents were too drunk or high to take care of the family.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_ther,NA,"When I was growing up, there was someone in my family who helped me feel that I was important or special.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_i_ha,NA,"When I was growing up, I had to wear dirty clothes",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_rowing_up_i_f,NA,"When I was growing up, I felt loved",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_i_th,NA,"When I was growing up, I thought that my parents wished I had never been born.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_i_g,NA,"When I was growing up, I got hit by someone so hard by someone in my family that I had to see a doctor or go to the hospital.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_thr,NA,"When I was growing up, there was nothing I wanted to change about my family.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_pep,NA,"When I was growing up, people in my family hit me so hard that it left me with bruises or marks.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_i_wa,NA,"When I was growing up, I was punished with a belt, a board, a cord, or some other hard object.",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
when_i_was_growing_up_peo,NA,"When I was growing up, people in my family looked out for each other",raw,0,"Never true =1, Rarely true =2, Sometimes true =3, Often true =4, Very often true =5",NA,NA,NA,NA,NA
