raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,ID,raw,0,NA,NA,NA,NA,NA,NA
epsi_1,NA,I did not like how clothes fit the shape of my body,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_2,NA,"I tried to exclude ""unhealthy"" foods from my diet",raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_3,NA,I ate when I was not hungry,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_4,NA,People told me that I do not eat very much,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_5,NA,I felt that I needed to exercise nearly every day,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_6,NA,People would be surprised if they knew how little I ate,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_7,NA,I used muscle building supplements,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_8,NA,I pushed myself extremely hard when I exercised,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_9,NA,I snacked throughout the evening without realizing it,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_10,NA,I got full more easily than most people,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_11,NA,I considered taking diuretics to lose weight,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_12,NA,"I tried on different outfits, because I did not like how I looked",raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_13,NA,I thought laxatives are a good way to lose weight,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
epsi_14,NA,I thought that obese people lack self-control,raw,0,"never =0, rarely =1, sometimes =2, often =3, very often =4",NA,NA,NA,NA,NA
