raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,ID,raw,0,NA,NA,NA,NA,NA,NA
gad_nervous,NA,"Feeling nervous, anxious, or on edge.",raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
gad_worry,NA,Not being able to stop or control worrying.,raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
gad_different_thing,NA,Worrying too much about different things.,raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
gad_not_relax,NA,Trouble relaxing.,raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
gad_restless,NA,Being so restless that it's hard to sit still.,raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
gad_annoy,NA,Becoming easily annoyed or irritable.,raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
gad_awful_happen,NA,Feeling afraid as if something awful might happen.,raw,0,"not at all =1, several days =2, over half the days =3, nearly every day =4",NA,NA,NA,NA,NA
"subject_id,gad_nervous,gad_worry,gad_different_thing,gad_not_relax,gad_restless,gad_annoy,gad_awful_happen",NA,NA,select,1,NA,NA,NA,NA,NA,NA
subject_id,id,NA,rename,2,NA,NA,NA,NA,NA,NA
gad_nervous,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gad_worry,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gad_different_thing,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gad_not_relax,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gad_restless,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gad_annoy,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gad_awful_happen,NA,NA,recode,2,"not at all =0, several days =1, over half the days =2, nearly every day =3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
"gad_nervous,gad_worry,gad_different_thing,gad_not_relax,gad_restless,gad_annoy,gad_awful_happen",gad_sum,Sum of GAD scores,sum,3,NA,NA,NA,NA,NA,NA
"subject_id,gad_nervous,gad_worry,gad_different_thing,gad_not_relax,gad_restless,gad_annoy,gad_awful_happen,gad_nervous,gad_worry,gad_different_thing,gad_not_relax,gad_restless,gad_annoy,gad_awful_happen",NA,NA,select,4,NA,NA,NA,NA,NA,NA
