raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
gffs_fear_fat,NA,My biggest fear is of becoming fat.    ,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_fear_little_gain,NA,I am afraid to gain even a little weight.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_overweight_risk,NA,I believe there is a real risk that I will become overweight someday.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_cannot_live,NA,I don't understand how overweight people can live with themselves.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_fat_worst,NA,Becoming fat would be the worst thing that could happen to me.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_concentrate,NA,"If I stopped concentrating on controlling my weight, chances are I would become very fat.",raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_painful_thought,NA,There is nothing that I can do to make the thought of gaining weight less painful and frightening.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_energy_control_weight,NA,I feel like all my energy goes into controlling my weight.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_eat_lose_control,NA,"If I eat even a little, I may lose control and not stop eating.",raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
gffs_stay_hungry,NA,Staying hungry is the only way I can guard against losing control and becoming fat.,raw,0,"very untrue = 1, somewhat untrue = 2, somewhat true = 3, very true = 4",NA,NA,NA,NA,NA
"gffs_fear_fat, gffs_fear_little_gain, gffs_overweight_risk, gffs_cannot_live, gffs_fat_worst, gffs_concentrate, gffs_painful_thought, gffs_energy_control_weight, gffs_eat_lose_control, gffs_stay_hungry",NA,NA,select,1,NA,NA,NA,NA,NA,NA
gffs_fear_fat,gffs_1_fear_fat,My biggest fear is of becoming fat.    ,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_fear_little_gain,gffs_2_fear_little_gain,I am afraid to gain even a little weight.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_overweight_risk,gffs_3_overweight_risk,I believe there is a real risk that I will become overweight someday.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_cannot_live,gffs_4_cannot_live,I don't understand how overweight people can live with themselves.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_fat_worst,gffs_5_fat_worst,Becoming fat would be the worst thing that could happen to me.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_concentrate,gffs_6_concentrate,"If I stopped concentrating on controlling my weight, chances are I would become very fat.",recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_painful_thought,gffs_7_painful_thought,There is nothing that I can do to make the thought of gaining weight less painful and frightening.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_energy_control_weight,gffs_8_energy_control_weight,I feel like all my energy goes into controlling my weight.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_eat_lose_control,gffs_9_eat_lose_control,"If I eat even a little, I may lose control and not stop eating.",recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
gffs_stay_hungry,gffs_10_stay_hungry,Staying hungry is the only way I can guard against losing control and becoming fat.,recode,2,"very untrue = 0, somewhat untrue = 1, somewhat true = 2, very true = 3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA
"gffs_1_fear_fat, gffs_2_fear_little_gain, gffs_3_overweight_risk, gffs_4_cannot_live, gffs_5_fat_worst, gffs_6_concentrate, gffs_7_painful_thought, gffs_8_energy_control_weight, gffs_9_eat_lose_control, gffs_10_stay_hungry",gffs_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"gffs_1_fear_fat, gffs_2_fear_little_gain, gffs_3_overweight_risk, gffs_4_cannot_live, gffs_5_fat_worst, gffs_6_concentrate, gffs_7_painful_thought, gffs_8_energy_control_weight, gffs_9_eat_lose_control, gffs_10_stay_hungry",NA,NA,select,4,NA,NA,NA,NA,NA,NA
