raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
panas_interested,NA,interested,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_distressed,NA,distressed,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_excited,NA,excited,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_upset,NA,upset,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_strong,NA,strong,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_guilty,NA,guilty,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_scared,NA,scared,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
hostile,NA,hostile,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
enthusiastic,NA,enthusiastic,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
proud,NA,proud,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
irritable,NA,irritable,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
alert,NA,alert,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
ashamed,NA,ashamed,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
inspired,NA,inspired,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
nervous,NA,nervous,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
determined,NA,determined,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
attentive,NA,attentive,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
jittery,NA,jittery,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
active,NA,active,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
afraid,NA,afraid,raw,0,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
"panas_interested, panas_distressed, panas_excited, panas_upset, panas_strong, panas_guilty, panas_scared, hostile, enthusiastic, proud, irritable, alert, ashamed, inspired, nervous, determined, attentive, jittery, active, afraid",NA,NA,select,1,NA,NA,NA,NA,NA,NA
panas_interested,panas_1_interested,interested,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_distressed,panas_2_distressed,distressed,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_excited,panas_3_excited,excited,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_upset,panas_4_upset,upset,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_strong,panas_5_strong,strong,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_guilty,panas_5_guilty,guilty,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
panas_scared,panas_6_scared,scared,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
hostile,panas_7_hostile,hostile,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
enthusiastic,panas_8_enthusiastic,enthusiastic,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
proud,panas_9_proud,proud,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
irritable,panas_10_irritable,irritable,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
alert,panas_11_alert,alert,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
ashamed,panas_12_ashamed,ashamed,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
inspired,panas_13_inspired,inspired,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
nervous,panas_14_nervous,nervous,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
determined,panas_15_determined,determined,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
attentive,panas_16_attentive,attentive,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
jittery,panas_17_jittery,jittery,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
active,panas_18_active,active,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
afraid,panas_19_afraid,afraid,rename,2,"very slightly or not at all =1, a little =2, moderately =3, quite a bit =4, extremely =5",NA,NA,NA,NA,NA
"panas_1_interested, panas_3_excited, panas_5_strong, panas_8_enthusiastic, panas_9_proud, panas_11_alert, panas_13_inspired, panas_15_determined, panas_16_attentive,  panas_18_active",panas_positive_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"panas_2_distressed, panas_4_upset, panas_5_guilty, panas_6_scared, panas_7_hostile, panas_10_irritable, panas_12_ashamed, panas_14_nervous, panas_17_jittery, panas_19_afraid",panas_negative_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"panas_1_interested, panas_3_excited, panas_5_strong, panas_8_enthusiastic, panas_9_proud, panas_11_alert, panas_13_inspired, panas_15_determined, panas_16_attentive,  panas_18_active, panas_2_distressed, panas_4_upset, panas_5_guilty, panas_6_scared, panas_7_hostile, panas_10_irritable, panas_12_ashamed, panas_14_nervous, panas_17_jittery, panas_19_afraid",NA,NA,select,4,NA,NA,NA,NA,NA,NA
