raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
tmfs_self_eval,NA,I consider myself as�,raw,0,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_ideal,NA,"Ideally, I would like to be�",raw,0,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_interest,NA,"Traditionally, my interests would be considered as...",raw,0,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_attitude,NA,"Traditionally, my attitudes and beliefs would be considered as�",raw,0,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_behavior,NA,"Traditionally, my behavior would be considered as�",raw,0,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_appearance,NA,"Traditionally, my outer appearance would be considered as�",raw,0,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
"tmfs_self_eval, tmfs_ideal, tmfs_interest, tmfs_attitude, tmfs_behavior, tmfs_appearance",NA,NA,select,1,NA,NA,NA,NA,NA,NA
tmfs_self_eval,tmfs_1_self_eval,I consider myself as�,rename,2,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_ideal,tmfs_2_ideal,"Ideally, I would like to be�",rename,2,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_interest,tmfs_3_interest,"Traditionally, my interests would be considered as...",rename,2,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_attitude,tmfs_4_attitude,"Traditionally, my attitudes and beliefs would be considered as�",rename,2,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_behavior,tmfs_5_behavior,"Traditionally, my behavior would be considered as�",rename,2,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
tmfs_appearance,tmfs_6_appearance,"Traditionally, my outer appearance would be considered as�",rename,2,"totally masculine =1, masculine =2, somewhat masculine =3, netiher masculine nor feminine =4, somewhat feminine =5, feminine =6, totally feminine =7",NA,NA,NA,NA,NA
"tmfs_1_self_eval, tmfs_2_ideal, tmfs_3_interest, tmfs_4_attitude, tmfs_5_behavior, tmfs_6_appearance",tmfs_mean,"mean<4 implies masculinity, mean>4 implies femininity",mean,3,NA,NA,NA,NA,NA,NA
"tmfs_1_self_eval, tmfs_2_ideal, tmfs_3_interest, tmfs_4_attitude, tmfs_5_behavior, tmfs_6_appearance",NA,NA,select,4,NA,NA,NA,NA,NA,NA
