raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
umb1,NA,Special effort should be taken to make sure that fat people have the same rights and privileges as other people.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb2,NA,I would be comfortable having a fat person in my group of friends.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb3,NA,I find fat people attractive.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb4,NA,Fat people make good romantic partners.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb5,NA,Fat people have bad hygiene.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb6,NA,I find fat people to be sexy.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb7,NA,Fat people tend towards bad behavior.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb8,NA,I would not want to have a fat person as a roommate.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb9,NA,Fat people are a turn-off.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb10,NA,I find fat people pleasant to look at.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb11,NA,Special effort should be taken to make sure that fat people have the same salaries as other people.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb12,NA,Sometimes I think that fat people are dishonest.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb13,NA,I try to understand the perspective of fat people.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb14,NA,Special effort should be taken to make sure that fat people have the same educational opportunities as other people.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb15,NA,"In general, fat people don't think about the needs of other people.",raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb16,NA,Fat people are sloppy.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb17,NA,I like fat people.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb18,NA,Special effort should be taken to make sure that fat people have the same housing opportunities as other people.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb19,NA,I don't enjoy having a conversation with a fat person.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb20,NA,I would like having a fat person at my place of worship or community center.,raw,0,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
"umb1, umb2, umb3, umb4, umb5, umb6, umb7, umb8, umb9, umb10, umb11, umb12, umb13, umb14, umb15, umb16, umb17, umb18, umb19, umb20",NA,NA,select,1,NA,NA,NA,NA,NA,NA
umb1,umb_1_rights_privileges,Special effort should be taken to make sure that fat people have the same rights and privileges as other people.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb2,umb_2_fat_person,I would be comfortable having a fat person in my group of friends.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb3,umb_3_fat_attractive,I find fat people attractive.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb4,umb_4_fat_romance,Fat people make good romantic partners.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb5,umb_5_fat_hygiene,Fat people have bad hygiene.,recode,2,"strongly agree =7, moderately agree =6, slightly agree =5, neither agree nor disagree =4, slightly disagree =3, moderately disagree =2, strongly disagree =1","1=7, 2=6,  3=5, 4=4, 5=3, 6=2, 7=1",NA,NA,NA,NA
umb6,umb_6_fat_sexy,I find fat people to be sexy.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb7,umb_7_fat_bad,Fat people tend towards bad behavior.,recode,2,"strongly agree =7, moderately agree =6, slightly agree =5, neither agree nor disagree =4, slightly disagree =3, moderately disagree =2, strongly disagree =1","1=7, 2=6,  3=5, 4=4, 5=3, 6=2, 7=1",NA,NA,NA,NA
umb8,umb_8_fat_roommate,I would not want to have a fat person as a roommate.,recode,2,"strongly agree =7, moderately agree =6, slightly agree =5, neither agree nor disagree =4, slightly disagree =3, moderately disagree =2, strongly disagree =1","1=7, 2=6,  3=5, 4=4, 5=3, 6=2, 7=1",NA,NA,NA,NA
